PN,Our Part #,MFR,DESCR1,DESCR2,Size,Material,PRESSURE (psi),WT/EA (lb),QTY/CS,U/M,COO,UPC,Cat No,Category
BA-100-025,MIL-BA100-025,MILWAUKEE,VLV BALL 1/4 BRZ 600WOG FP THRD,,1/4",BRZ,600,0.45,24,EA,,,BA100025,Valves
BA-100-050,MIL-BA100-050,Milwaukee Valve,VLV BALL 1/2 BRZ 600WOG FP THRD,Lever handle,1/2",Bronze,600,0.62,24,EA,US,,BA100050,Valves
BA-100-075,MIL-BA100-075,MILW,VLV BALL 3/4 BRZ 600WOG FP THRD,,3/4",Bronze C84400,600,0.75,12,EA,,,BA100075,Ball Valves
BA100075,MIL-BA-100-075,MILWAUKEE VALVE,BALL VALVE 3/4IN BRONZE,,0.75 IN,Bronze,600,0.75,12,EA,,,,Valves
BA-100-100,MIL-BA100-100,MILWAUKEE,VLV BALL 1 BRZ 600WOG FP THRD,,1",BRZ,600,1.10,12,EA,,,BA100100,Valves
BA-100-125,MIL-BA100-125,MILWAUKEE,VLV BALL 1-1/4 BRZ 600WOG FP,,1-1/4",BRZ,41.4,1.85,6,EA,,,BA100125,Valves
T-113-025,NIB-T113-025,NIBCO,VLV GATE 1/4 BRZ 200WOG SOLDER,,1/4",Bronze C89833,200,0.40,20,EA,,,T113025,Gate Valves
T-113-050,NIB-T113-050,Nibco Inc,VLV GATE 1/2 BRZ 200 SLDR,,1/2",Bronze,200,0.55,20,EA,US,,T113050,Gate Valves
T-113-100,NIB-T113-100,NIBCO,VLV GATE 1 BRZ 200 SLDR,Handwheel,1",Bronze C89833,200,1.20,10,EA,,,T113100,Gate Valves
T-113-200,NIB-T113-200,NIBCO,VLV GATE 2 BRZ 200 SLDR,,2",Bronze,200,1.63,4,CS,,,T113200,Fittings
T113-100,NIB-T-113-100,NIBCO,GATE VALVE 1IN BRONZE SOLDER,,1.0",Bronze,200,0.54,10,EA,,,T113100,Valves
77C-103,APO-77C-103,APOLLO,VLV BALL 1/2 BRZ 400WOG LF FP,,1/2",Bronze C89833,400,0.58,24,EA,,,77C103,Ball Valves
77C-104,APO-77C-104,Apollo,VLV BALL 3/4 BRZ 400WOG LF FP,,3/4",Bronze,400,0.71,20,EA,,,77C104,Ball Valves
77C-105,APO-77C-105,APOLLO VALVES,VLV BALL 1 BRZ 400WOG LF FP TEE,,1",Bronze C89833,400,1.05,12,EA,,,77C105,Ball Valves
77C-105R,APO-77C-105R,APOLLO,VLV BALL 1 BRZ 400WOG LF RP TEE,Reduced port,1",Bronze,400,0.95,12,EA,,,77C105R,Ball Valves
77C-105-DUP,APO-77C-105,APOLLO,BALL VALVE 1IN BRZ 400,,1 IN,Bronze,400,0.48,12,EA,,,77C105,Valves
77C-106,APO-77C-106,APOLLO,VLV BALL 1-1/4 BRZ 400WOG LF FP,,1-1/4",Bronze C89833,400,1.42,6,EA,,,77C106,Ball Valves
77C-106R,APO-77C-106R,APOLLO,VLV BALL 1-1/4 BRZ 400 LF RP,,1-1/4",Bronze,400,1.30,6,EA,,,77C106R,Ball Valves
